Time (HH:MM:SS),Spindle speed (RPM),Feed rate (mm/min),Depth of cut (mm),Cutting tool path x (mm),Cutting tool path y (mm)
00:00:50,2649,365.81,3.28,15.6,15.54
00:00:51,1204,174.9,3.3,15.75,15.9
00:00:52,2423,363.9,2.66,15.86,16.33
00:00:53,2205,372.98,3.67,15.98,16.78
00:00:54,2710,389.86,4.02,16.19,16.98
00:00:55,1486,518.29,3.01,16.52,17.17
00:00:56,1965,146.25,0.85,16.97,17.39
00:00:57,1344,228.9,1.85,17.26,17.65
00:00:58,2283,243.92,3.64,17.43,17.82
00:00:59,583,170.03,0.71,17.91,18.14
00:01:00,2761,525.89,4.54,18.41,18.39
00:01:01,952,131.11,4.09,18.6,18.73
00:01:02,1846,204.03,0.58,18.84,19.05
00:01:03,975,378.99,1.25,19.34,19.49
00:01:04,964,344.19,2.47,19.82,19.9
00:01:05,2916,211.54,2.41,20.12,20.1
00:01:06,2628,304.4,0.75,20.42,20.44
00:01:07,1880,376.22,3.65,20.89,20.71
00:01:08,917,326.4,3.86,21.19,20.85
00:01:09,2893,302.96,3.71,21.4,21.22
00:01:10,985,214.18,2.11,21.79,21.37
00:01:11,756,246.04,2.96,21.89,21.55
00:01:12,1599,118.78,2.9,22.05,21.96
00:01:13,2144,195.32,2.86,22.2,22.46
00:01:14,989,312.4,2.45,22.51,22.8
00:01:15,2388,395.2,4.31,22.62,23.22
00:01:16,1550,256.84,2.17,22.83,23.68
00:01:17,842,258.23,2.51,23.0,23.79
00:01:18,1602,521.7,2.9,23.16,23.91
00:01:19,670,356.06,1.61,23.34,24.21
00:01:20,2018,472.2,2.0,23.6,24.43
00:01:21,2972,376.93,1.38,23.97,24.87
00:01:22,706,361.5,2.34,24.36,25.03
00:01:23,579,114.79,4.22,24.75,25.24
00:01:24,841,345.82,2.8,25.13,25.46
00:01:25,754,379.89,0.51,25.36,25.62
00:01:26,2641,407.46,3.81,25.83,25.86
00:01:27,596,542.57,3.49,26.04,26.33
00:01:28,1814,464.44,2.84,26.28,26.76
00:01:29,2446,531.43,0.54,26.44,27.01
00:01:30,1749,228.06,0.99,26.93,27.46
00:01:31,1309,365.46,3.81,27.29,27.86
00:01:32,628,325.32,4.11,27.77,28.31
00:01:33,2634,210.53,3.57,28.04,28.61
00:01:34,1376,493.4,4.56,28.48,28.72
00:01:35,1739,109.49,4.16,28.87,29.16
00:01:36,1164,439.24,3.63,29.18,29.59
00:01:37,2229,186.96,1.1,29.57,29.86
00:01:38,2883,202.46,3.71,29.94,30.27
00:01:39,769,175.81,1.88,30.19,30.4
00:01:40,2590,416.93,4.01,30.3,30.73
00:01:41,2100,541.15,1.89,30.48,31.23
00:01:42,1002,589.08,0.7,30.97,31.38
00:01:43,2410,452.81,4.21,31.45,31.58
00:01:44,2539,502.45,1.5,31.8,31.81
00:01:45,509,380.84,4.82,32.22,32.04
00:01:46,1425,583.65,4.59,32.48,32.36
00:01:47,2931,399.82,4.68,32.68,32.69
00:01:48,1282,322.81,1.46,33.11,33.03
00:01:49,1040,309.14,4.78,33.39,33.22
00:01:50,2744,226.36,1.33,33.55,33.43
00:01:51,619,193.58,0.93,33.95,33.78
00:01:52,1856,524.99,2.38,34.19,34.26
00:01:53,1334,434.12,4.92,34.51,34.47
00:01:54,1074,338.25,2.17,34.87,34.59
00:01:55,1693,346.07,3.56,35.36,34.83
00:01:56,1951,122.98,0.57,35.73,35.11
00:01:57,926,433.07,3.96,36.06,35.33
00:01:58,1650,105.22,3.55,36.37,35.69
00:01:59,2597,546.6,1.72,36.6,36.12
00:02:00,2745,570.16,2.73,36.9,36.26
00:02:01,2691,222.82,3.46,37.26,36.49
00:02:02,1712,410.65,4.48,37.64,36.84
00:02:03,2751,575.27,2.78,37.84,37.1
00:02:04,1140,488.65,2.77,38.23,37.48
00:02:05,2016,561.03,2.28,38.55,37.87
00:02:06,2104,441.41,1.96,38.8,38.01
00:02:07,2603,560.99,2.53,38.95,38.23
00:02:08,2312,546.44,2.43,39.16,38.38
00:02:09,1808,147.86,1.42,39.37,38.62
00:02:10,2880,451.55,3.1,39.83,39.02
00:02:11,1460,432.71,4.7,40.18,39.24
00:02:12,2942,519.96,1.21,40.62,39.52
00:02:13,1999,545.43,3.36,41.04,39.79
00:02:14,2445,222.01,1.18,41.54,40.03
00:02:15,1354,568.18,1.03,41.87,40.23
00:02:16,1314,316.41,3.56,42.2,40.53
00:02:17,2355,327.91,0.61,42.43,40.64
00:02:18,1481,422.56,2.73,42.87,40.97
00:02:19,1164,260.54,4.13,43.04,41.27
00:02:20,922,251.54,4.66,43.25,41.47
00:02:21,2120,563.61,2.52,43.43,41.83
00:02:22,2444,384.83,3.48,43.54,42.32
00:02:23,1796,258.99,3.33,43.79,42.59
00:02:24,2813,582.77,3.79,43.93,42.71
00:02:25,1495,428.02,1.39,44.37,42.89
00:02:26,1320,509.38,2.31,44.51,43.13
00:02:27,1135,522.25,2.71,44.83,43.4
00:02:28,802,180.7,1.43,45.02,43.6
00:02:29,2289,258.56,2.0,45.5,43.77
00:02:30,2255,588.97,4.28,45.73,44.26
00:02:31,2571,437.73,4.91,46.14,44.38
00:02:32,710,223.4,2.15,46.45,44.81
00:02:33,1476,399.06,3.34,46.75,45.28
00:02:34,793,275.67,4.95,47.02,45.65
00:02:35,2101,165.44,0.61,47.12,45.88
00:02:36,2461,350.88,3.78,47.24,46.19
00:02:37,691,253.47,2.24,47.59,46.65
00:02:38,2179,505.88,1.78,48.09,47.04
00:02:39,2212,546.28,3.27,48.21,47.21
00:02:40,1538,327.08,1.13,48.68,47.44
00:02:41,1381,430.78,3.8,48.95,47.82
00:02:42,577,137.85,0.57,49.13,48.3
00:02:43,696,411.67,4.62,49.52,48.73
00:02:44,2234,543.67,0.89,49.65,49.08
00:02:45,1441,403.88,3.84,49.92,49.35
00:02:46,1420,425.78,1.3,50.37,49.66
00:02:47,1183,143.43,4.25,50.59,49.81
00:02:48,1026,166.23,1.28,50.78,50.26
00:02:49,1282,155.22,3.35,51.1,50.47
00:02:50,2062,104.91,0.65,51.54,50.83
00:02:51,1182,424.32,3.92,51.75,51.09
00:02:52,2644,534.37,0.97,51.99,51.37
00:02:53,1290,483.12,3.88,52.15,51.82
00:02:54,1889,146.65,1.53,52.27,52.13
00:02:55,858,364.35,1.55,52.57,52.54
00:02:56,2872,348.57,3.15,52.87,52.75
00:02:57,2282,428.29,2.93,53.06,53.2
00:02:58,1293,374.76,0.67,53.48,53.47
00:02:59,1190,145.34,1.91,53.96,53.76
00:03:00,921,403.04,2.15,54.43,54.09
00:03:01,983,105.68,4.37,54.65,54.35
00:03:02,2172,423.18,1.51,54.76,54.56
00:03:03,1875,424.5,1.61,55.07,54.73
00:03:04,832,458.95,0.52,55.49,55.0
00:03:05,1022,166.5,4.55,55.83,55.18
00:03:06,1407,577.86,1.49,56.03,55.53
00:03:07,882,474.22,0.85,56.25,55.77
00:03:08,2359,574.98,4.7,56.43,56.17
00:03:09,1425,441.08,3.92,56.89,56.62
00:03:10,2166,533.55,2.28,57.17,56.8
00:03:11,1180,516.7,2.07,57.41,57.25
00:03:12,628,199.29,0.64,57.73,57.57
00:03:13,2821,411.49,3.97,57.85,57.88
00:03:14,2023,573.95,4.04,58.1,58.0
00:03:15,1198,546.26,1.16,58.59,58.23
00:03:16,1922,176.36,3.58,59.05,58.65
00:03:17,610,421.43,4.92,59.35,59.03
00:03:18,988,324.31,3.9,59.66,59.24
00:03:19,1494,450.48,3.14,60.12,59.42
00:03:20,1912,497.87,2.98,60.5,59.82
00:03:21,2851,553.1,3.73,60.63,60.23
00:03:22,1147,407.12,1.51,60.76,60.47
00:03:23,1981,100.47,3.26,60.93,60.77
00:03:24,901,180.31,3.99,61.29,61.06
00:03:25,2658,551.84,2.76,61.41,61.54
00:03:26,1651,343.04,1.05,61.73,61.92
00:03:27,2137,323.65,0.92,62.13,62.25
00:03:28,1012,120.86,2.03,62.42,62.37
00:03:29,2334,153.35,1.85,62.89,62.69
00:03:30,1300,344.28,4.29,63.07,63.09
00:03:31,527,438.77,2.87,63.54,63.23
00:03:32,2336,415.5,4.01,64.01,63.36
00:03:33,735,253.24,4.89,64.34,63.82
00:03:34,2429,444.11,1.22,64.74,64.26
00:03:35,2087,274.45,2.79,65.12,64.43
00:03:36,1114,192.69,4.32,65.59,64.54
00:03:37,2289,169.75,2.52,66.07,64.97
00:03:38,2995,333.82,3.91,66.36,65.18
00:03:39,2207,241.24,4.16,66.5,65.48
00:03:40,1057,512.95,3.47,66.78,65.86
00:03:41,2184,314.36,3.89,66.91,66.19
00:03:42,1442,276.9,4.05,67.26,66.54
00:03:43,1994,268.25,4.26,67.52,66.72
00:03:44,1884,413.22,2.47,67.98,66.86
00:03:45,2455,574.06,1.0,68.44,67.05
00:03:46,609,573.64,3.38,68.78,67.22
00:03:47,1591,125.91,0.51,69.22,67.71
00:03:48,968,367.15,3.88,69.44,67.96
00:03:49,761,599.9,4.27,69.67,68.18
00:03:50,972,455.38,3.59,69.78,68.43
00:03:51,878,189.78,3.97,70.28,68.73
00:03:52,1514,517.69,0.86,70.76,68.87
00:03:53,2500,231.4,2.32,71.24,69.02
00:03:54,2578,302.49,2.15,71.38,69.33
00:03:55,1896,487.93,3.02,71.61,69.61
00:03:56,2887,266.32,2.5,72.01,70.07
00:03:57,715,175.75,4.55,72.38,70.27
00:03:58,904,400.1,2.39,72.55,70.51
00:03:59,2152,391.96,4.28,72.66,70.65
00:04:00,1918,437.05,1.49,73.08,70.89
00:04:01,1943,429.07,2.29,73.5,71.04
00:04:02,1402,585.02,3.86,74.0,71.54
00:04:03,609,255.53,4.53,74.36,72.04
00:04:04,1190,468.34,3.41,74.6,72.45
00:04:05,1193,282.61,2.9,74.88,72.75
00:04:06,1007,217.36,4.24,75.19,72.96
00:04:07,2904,152.59,2.78,75.59,73.12
00:04:08,551,338.01,0.63,75.95,73.27
00:04:09,994,523.35,2.31,76.3,73.47
00:04:10,1127,557.93,4.19,76.65,73.86
00:04:11,1425,368.78,2.99,76.96,74.11
00:04:12,1870,540.89,3.99,77.18,74.26
00:04:13,1038,317.48,2.57,77.55,74.46
00:04:14,2536,296.54,1.8,77.88,74.57
00:04:15,1965,117.46,1.34,78.11,74.77
00:04:16,1907,483.38,1.63,78.35,75.18
00:04:17,1267,360.68,0.64,78.69,75.6
00:04:18,2767,257.34,0.78,78.88,75.73
00:04:19,1316,160.09,3.13,79.05,75.94
00:04:20,1238,364.89,4.57,79.2,76.35
00:04:21,842,375.77,0.93,79.47,76.62
00:04:22,2796,248.54,3.67,79.91,76.9
00:04:23,1613,118.36,1.51,80.17,77.06
00:04:24,2956,180.8,2.95,80.51,77.16
00:04:25,2393,546.54,2.64,80.7,77.45
00:04:26,644,545.06,4.65,80.93,77.62
00:04:27,2015,568.09,0.62,81.39,77.78
00:04:28,2403,301.29,1.21,81.87,77.94
00:04:29,2288,321.52,1.14,82.02,78.38
00:04:30,2738,585.44,1.16,82.25,78.67
00:04:31,858,204.59,2.45,82.39,78.92
00:04:32,608,270.88,0.84,82.55,79.05
00:04:33,2841,332.65,1.71,82.93,79.4
00:04:34,1513,562.29,4.57,83.33,79.83
00:04:35,1121,528.56,4.1,83.49,80.31
00:04:36,2710,359.32,3.61,83.85,80.65
00:04:37,912,243.01,2.9,83.96,80.76
00:04:38,1489,248.0,3.47,84.31,81.13
00:04:39,1261,526.28,2.9,84.65,81.42
00:04:40,1196,168.11,1.7,84.87,81.69
00:04:41,942,469.01,0.55,85.22,82.01
00:04:42,2575,274.36,3.69,85.36,82.42
00:04:43,2677,483.02,3.96,85.61,82.66
00:04:44,1312,332.46,4.51,86.0,82.88
00:04:45,712,428.02,1.85,86.11,83.01
00:04:46,2808,447.84,2.95,86.23,83.48
00:04:47,787,208.48,4.83,86.35,83.69
00:04:48,826,527.49,4.41,86.47,84.07
00:04:49,1126,212.51,2.47,86.86,84.53
00:04:50,2626,543.11,1.32,87.36,84.89
00:04:51,2722,202.09,2.61,87.73,85.08
00:04:52,2335,598.45,3.12,87.89,85.38
00:04:53,2800,285.46,3.75,88.08,85.79
00:04:54,1010,487.7,1.11,88.28,86.03
00:04:55,2740,515.73,4.76,88.6,86.42
00:04:56,1489,445.26,0.75,88.88,86.63
00:04:57,2601,501.22,2.55,89.21,86.75
00:04:58,1530,509.0,1.46,89.35,86.88
00:04:59,2070,279.16,2.33,89.66,87.33
00:05:00,1355,157.32,1.43,90.09,87.74
00:05:01,1961,500.46,1.15,90.42,88.15
00:05:02,1357,481.58,1.25,90.86,88.39
00:05:03,989,427.35,2.85,91.18,88.7
00:05:04,1121,455.33,2.1,91.38,89.18
00:05:05,1291,280.38,3.76,91.87,89.61
00:05:06,1739,492.28,1.66,92.07,89.85
00:05:07,1639,281.96,1.22,92.47,90.12
00:05:08,739,181.47,1.87,92.75,90.58
00:05:09,854,561.32,3.16,93.16,90.78
00:05:10,1363,339.65,1.75,93.63,90.89
00:05:11,1333,380.3,1.09,93.75,91.22
00:05:12,2818,111.87,1.41,94.2,91.37
00:05:13,570,450.7,3.28,94.68,91.48
00:05:14,919,543.65,4.06,94.88,91.7
00:05:15,2552,492.52,1.13,95.31,92.1
00:05:16,749,438.74,2.79,95.67,92.33
00:05:17,1965,248.1,4.36,95.99,92.77
00:05:18,2715,334.5,4.65,96.43,93.27
00:05:19,628,437.07,1.55,96.65,93.54
00:05:20,1011,475.58,2.02,96.9,93.85
00:05:21,974,547.39,1.49,97.15,94.34
00:05:22,1467,372.67,4.3,97.63,94.79
00:05:23,2719,318.58,4.92,98.01,95.1
00:05:24,1006,152.44,3.11,98.3,95.21
00:05:25,663,236.25,2.87,98.62,95.38
00:05:26,2816,420.96,1.28,98.82,95.87
00:05:27,947,278.5,4.11,99.1,95.98
00:05:28,1242,493.98,1.64,99.23,96.18
00:05:29,884,265.43,2.16,99.69,96.34
00:05:30,1361,447.43,2.74,100.02,96.53
00:05:31,2379,539.28,0.69,100.17,96.74
00:05:32,2642,358.32,0.69,100.4,96.99
00:05:33,2852,241.32,3.52,100.56,97.44
00:05:34,563,289.44,3.86,100.81,97.71
00:05:35,2726,353.62,1.89,101.08,98.19
00:05:36,2812,202.17,4.16,101.41,98.68
00:05:37,697,391.44,3.83,101.64,98.95
00:05:38,664,259.17,3.31,102.03,99.08
00:05:39,2581,288.31,1.75,102.17,99.47
00:05:40,1944,508.45,4.67,102.48,99.78
00:05:41,2367,434.8,4.73,102.79,100.16
00:05:42,2446,376.06,3.65,103.24,100.39
00:05:43,779,432.24,3.84,103.73,100.8
00:05:44,571,118.07,4.51,104.22,101.03
00:05:45,1743,242.65,4.77,104.55,101.3
00:05:46,2045,453.49,3.67,104.73,101.69
00:05:47,1748,381.74,3.45,105.04,101.94
00:05:48,2052,161.69,4.32,105.25,102.17
00:05:49,2288,397.44,3.06,105.43,102.52
00:05:50,2961,115.86,4.95,105.89,102.81
00:05:51,2959,258.89,2.55,106.11,103.06
00:05:52,2549,420.28,3.47,106.27,103.23
00:05:53,1116,439.84,3.34,106.44,103.63
00:05:54,2133,185.44,3.74,106.59,103.94
00:05:55,2951,109.22,3.66,106.9,104.24
00:05:56,1643,125.23,1.24,107.37,104.72
00:05:57,1139,279.95,1.68,107.58,105.07
00:05:58,2491,430.17,4.49,107.97,105.49
00:05:59,807,535.62,4.81,108.26,105.77
00:06:00,1673,532.36,4.98,108.46,106.25
00:06:01,1154,395.29,2.15,108.69,106.48
00:06:02,806,536.73,2.77,108.83,106.74
00:06:03,1935,481.15,1.61,109.02,107.21
00:06:04,1233,411.46,0.88,109.25,107.46
00:06:05,635,336.57,1.32,109.45,107.62
00:06:06,1579,425.47,2.33,109.73,107.92
00:06:07,1958,306.92,4.68,110.02,108.39
00:06:08,1847,479.15,4.64,110.25,108.85
00:06:09,1031,449.03,2.2,110.56,109.34
00:06:10,695,395.05,4.98,110.83,109.66
00:06:11,546,482.86,4.89,111.32,109.88
00:06:12,530,564.01,4.89,111.61,110.12
00:06:13,1299,145.35,3.78,111.8,110.24
00:06:14,2923,290.54,2.44,112.19,110.55
00:06:15,1372,129.78,1.17,112.43,110.91
00:06:16,1541,190.4,3.19,112.62,111.29
00:06:17,2320,313.19,4.02,113.04,111.76
00:06:18,1677,253.13,1.37,113.36,112.0
00:06:19,2234,509.14,3.4,113.66,112.15
00:06:20,2031,545.97,0.66,113.88,112.42
00:06:21,1039,513.69,0.81,114.16,112.54
00:06:22,2362,584.62,1.25,114.4,112.78
00:06:23,2569,415.34,4.1,114.57,112.92
00:06:24,997,256.4,1.32,115.02,113.06
00:06:25,1884,157.86,4.76,115.18,113.44
00:06:26,2303,575.15,3.83,115.38,113.58
00:06:27,1717,302.87,3.86,115.55,113.76
00:06:28,2199,444.68,3.98,115.69,113.92
00:06:29,2043,110.88,3.33,115.86,114.11
00:06:30,2408,199.93,2.69,116.35,114.61
00:06:31,1381,237.06,0.91,116.56,114.74
00:06:32,2501,473.53,4.17,116.85,114.86
00:06:33,2657,187.02,2.1,117.24,115.35
00:06:34,500,420.09,3.81,117.48,115.49
00:06:35,1963,116.62,2.0,117.73,115.75
00:06:36,1643,468.38,0.6,117.97,115.86
00:06:37,1199,480.37,3.79,118.14,116.23
00:06:38,854,126.16,1.41,118.29,116.72
00:06:39,2377,455.18,3.86,118.48,116.82
00:06:40,2882,393.09,2.18,118.64,117.01
00:06:41,2949,250.91,3.11,119.04,117.46
00:06:42,2670,593.93,1.15,119.28,117.82
00:06:43,2197,564.09,4.54,119.46,118.21
00:06:44,823,440.29,0.64,119.63,118.41
00:06:45,2084,105.17,2.05,119.92,118.87
00:06:46,1521,364.89,3.78,120.24,118.98
00:06:47,1018,105.7,1.69,120.46,119.3
00:06:48,986,393.34,1.89,120.6,119.71
00:06:49,750,406.34,4.52,120.71,119.87
00:06:50,2769,152.49,2.39,121.16,120.35
00:06:51,2832,268.15,4.88,121.48,120.55
00:06:52,2497,115.37,2.51,121.63,120.7
00:06:53,2210,100.53,3.15,122.07,120.88
00:06:54,2354,132.14,2.62,122.23,121.16
00:06:55,2361,569.99,1.56,122.56,121.29
00:06:56,1762,276.14,3.64,123.01,121.6
00:06:57,759,334.64,2.12,123.44,122.1
00:06:58,1442,490.55,3.51,123.82,122.45
00:06:59,697,304.09,2.38,124.15,122.87
00:07:00,997,404.4,2.32,124.29,123.12
00:07:01,2507,122.81,3.98,124.45,123.56
00:07:02,2939,546.27,1.76,124.89,124.03
00:07:03,1762,175.39,3.13,125.03,124.16
00:07:04,1050,364.54,2.84,125.21,124.27
00:07:05,1560,237.26,4.52,125.32,124.48
00:07:06,2752,229.88,3.61,125.57,124.64
00:07:07,1012,588.72,3.92,125.9,124.91
00:07:08,1883,174.52,3.06,126.19,125.28
00:07:09,2837,510.75,4.77,126.56,125.57
00:07:10,1866,479.9,2.38,126.77,125.79
00:07:11,2072,565.46,4.18,127.16,126.0
00:07:12,2916,564.82,2.94,127.63,126.32
00:07:13,506,243.72,1.27,128.01,126.42
00:07:14,1536,454.3,3.57,128.39,126.53
00:07:15,2898,582.26,3.27,128.84,126.82
00:07:16,673,152.98,2.81,129.14,127.29
00:07:17,1963,595.27,2.69,129.27,127.41
00:07:18,1414,598.61,1.68,129.71,127.78
00:07:19,863,459.63,2.7,130.16,128.24
00:07:20,1366,408.47,0.83,130.35,128.55
00:07:21,887,454.25,3.74,130.6,129.0
00:07:22,2298,448.45,3.03,131.09,129.44
00:07:23,2957,499.1,3.94,131.58,129.59
00:07:24,2296,431.61,1.68,131.97,129.83
00:07:25,2474,417.59,1.95,132.09,129.97
00:07:26,652,288.2,2.08,132.2,130.29
00:07:27,1654,270.69,3.98,132.51,130.75
00:07:28,1700,494.37,0.66,132.99,131.23
00:07:29,837,454.1,4.21,133.11,131.41
00:07:30,1238,176.04,1.27,133.23,131.87
00:07:31,2075,508.72,3.36,133.41,132.06
00:07:32,925,413.35,2.7,133.57,132.42
00:07:33,642,450.49,3.23,134.07,132.54
00:07:34,967,246.7,1.33,134.22,132.94
00:07:35,2439,140.09,1.01,134.71,133.44
00:07:36,751,484.01,1.63,134.96,133.58
00:07:37,745,106.83,3.23,135.32,133.87
00:07:38,2306,447.21,4.49,135.75,134.17
00:07:39,745,152.43,1.28,136.05,134.63
00:07:40,1607,365.15,3.07,136.26,135.06
00:07:41,659,136.92,1.3,136.39,135.53
00:07:42,505,439.01,2.49,136.7,135.79
00:07:43,2196,440.06,4.15,137.1,135.97
00:07:44,2166,455.32,4.71,137.56,136.34
00:07:45,1710,529.59,1.73,138.01,136.77
00:07:46,665,134.9,1.48,138.21,136.88
00:07:47,1741,571.73,4.68,138.48,137.03
00:07:48,741,152.81,2.99,138.64,137.38
00:07:49,1745,308.33,2.26,139.11,137.78
00:07:50,869,402.4,4.98,139.39,138.12
00:07:51,1181,458.71,4.78,139.8,138.32
00:07:52,1830,284.52,3.51,139.94,138.63
00:07:53,1206,148.45,4.29,140.34,138.76
00:07:54,1504,122.8,4.62,140.59,139.13
00:07:55,1591,373.31,3.19,140.89,139.57
00:07:56,664,141.06,2.0,141.06,140.04
00:07:57,1685,497.97,1.14,141.45,140.46
00:07:58,2913,136.06,4.89,141.87,140.77
00:07:59,1125,519.28,2.23,142.11,140.94
00:08:00,739,455.34,1.01,142.31,141.21
00:08:01,1200,200.88,1.98,142.71,141.35
00:08:02,2261,108.06,1.51,142.82,141.64
00:08:03,2775,484.48,4.66,143.21,141.86
00:08:04,1713,451.68,4.4,143.53,142.08
00:08:05,1332,507.39,1.29,143.71,142.41
00:08:06,891,447.66,3.36,143.83,142.81
00:08:07,2574,226.33,1.03,144.32,143.22
00:08:08,2804,526.65,4.91,144.74,143.65
00:08:09,1355,327.64,0.62,144.95,143.97
00:08:10,2033,230.01,4.14,145.26,144.07
00:08:11,533,303.85,0.62,145.65,144.28
00:08:12,687,345.38,2.62,145.79,144.58
00:08:13,2963,410.59,2.01,146.23,144.84
00:08:14,2961,179.84,3.04,146.35,144.97
00:08:15,2378,430.97,4.32,146.77,145.08
00:08:16,1546,530.34,1.01,147.25,145.41
00:08:17,1678,123.89,4.39,147.61,145.66
00:08:18,918,428.77,3.72,147.86,145.89
00:08:19,871,450.58,3.7,148.28,146.22
00:08:20,2396,238.95,2.7,148.5,146.42
00:08:21,2969,260.19,1.32,148.81,146.78
00:08:22,1591,449.18,2.69,149.17,146.89
00:08:23,1141,174.18,4.87,149.66,147.39
00:08:24,1840,237.8,1.67,150.0,147.73
00:08:25,919,305.72,3.48,150.17,147.99
00:08:26,1234,484.86,1.34,150.51,148.35
00:08:27,1390,381.53,3.28,150.99,148.81
00:08:28,1027,286.39,2.4,151.41,149.13
00:08:29,2019,532.05,2.7,151.57,149.61
00:08:30,1625,199.19,0.73,151.83,150.07
00:08:31,2714,438.8,3.9,152.07,150.39
00:08:32,2551,502.43,3.65,152.32,150.63
00:08:33,2416,147.01,4.37,152.56,151.13
00:08:34,837,430.11,1.07,152.93,151.3
00:08:35,2420,556.45,3.45,153.06,151.44
00:08:36,1420,102.43,0.6,153.52,151.77
00:08:37,2580,429.36,1.08,153.83,152.22
00:08:38,2269,395.79,0.59,154.25,152.52
00:08:39,2079,315.67,4.17,154.36,152.95
00:08:40,2409,540.15,0.6,154.74,153.3
00:08:41,2731,391.27,2.12,155.13,153.79
00:08:42,1283,325.56,4.32,155.62,154.01
00:08:43,690,310.7,3.06,156.09,154.18
00:08:44,2956,211.14,0.87,156.37,154.65
00:08:45,2353,543.95,1.03,156.51,155.02
00:08:46,2885,107.69,4.15,156.96,155.51
00:08:47,1429,533.11,2.96,157.34,155.72
00:08:48,2380,586.27,0.85,157.68,155.87
00:08:49,596,533.98,1.5,157.99,156.14
00:08:50,1685,175.72,2.8,158.28,156.6
00:08:51,2011,354.28,3.1,158.47,157.04
00:08:52,2241,135.63,4.88,158.82,157.4
00:08:53,619,496.17,4.64,159.02,157.8
00:08:54,516,276.92,3.09,159.52,158.01
00:08:55,1976,448.24,4.84,159.72,158.22
00:08:56,760,331.88,3.93,160.06,158.56
00:08:57,665,497.02,2.72,160.47,159.0
00:08:58,2112,180.75,2.61,160.71,159.19
00:08:59,1046,289.41,2.2,161.0,159.64
00:09:00,1950,251.23,1.67,161.19,160.1
00:09:01,735,168.79,3.38,161.43,160.41
00:09:02,509,473.09,2.19,161.92,160.64
00:09:03,2033,325.18,2.8,162.38,161.09
00:09:04,2181,263.5,1.16,162.69,161.31
00:09:05,533,182.44,2.12,162.92,161.43
00:09:06,2115,100.1,0.79,163.39,161.79
00:09:07,1648,133.39,0.92,163.68,162.25
00:09:08,678,356.46,2.19,164.16,162.58
00:09:09,1171,504.26,2.57,164.27,162.94
00:09:10,2165,255.76,4.65,164.68,163.41
00:09:11,1244,105.17,4.76,165.18,163.87
00:09:12,2619,358.15,1.59,165.3,164.1
00:09:13,826,284.35,1.02,165.66,164.22
00:09:14,2518,117.74,2.76,166.1,164.49
00:09:15,1545,336.45,3.91,166.27,164.93
00:09:16,2419,398.73,3.15,166.55,165.35
00:09:17,2909,498.39,1.45,166.93,165.55
00:09:18,2378,342.88,2.74,167.21,166.04
